id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,epoch_construction,roof_shape,roof_material,image_quality,taxonomy,image filename or link
1.0,38.70108733348184,-9.20400349081912,Portugal,Lisbon,CR,LFM,CDM,3.0,RES,BP2,Select Epoch of Construction,RSH1,RMN,,CR/LFM/CDM/H:3/BP2/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70108733,-9.20400349&heading=334.90461712373497&pitch=5&fov=120"
2.0,38.695850822936215,-9.217359531249553,Portugal,Lisbon,MUR,LWAL,CDL,2.0,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MUR/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69585082,-9.21735953&heading=170.85758478688405&pitch=5&fov=120"
3.0,38.69992013263461,-9.209315523207216,Portugal,Lisbon,,,,,,,Select Epoch of Construction,,,,H:Select Number of Stories,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69992013,-9.20931552&heading=344.12753870926167&pitch=5&fov=120"
4.0,38.69931408611263,-9.215036956672206,Portugal,Lisbon,,,,,,,Select Epoch of Construction,,,,H:Select Number of Stories,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69931409,-9.21503696&heading=21.8666906867702&pitch=5&fov=120"
5.0,38.70022449109836,-9.220065804436544,Portugal,Lisbon,MR,LWAL,CDL,3.0,RES,BP2,Select Epoch of Construction,RSH3,RMT1,,MR/LWAL/CDL/H:3/BP2/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70022449,-9.2200658&heading=32.011325933409466&pitch=5&fov=120"
6.0,38.704730000000005,-9.2201779,Portugal,Lisbon,,,,,,,Select Epoch of Construction,,,,H:Select Number of Stories,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70473,-9.2201779&heading=119.57329145763805&pitch=5&fov=120"
7.0,38.70116316116378,-9.206827738299664,Portugal,Lisbon,,,,,,,Select Epoch of Construction,,,,H:Select Number of Stories,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70116316,-9.20682774&heading=199.06715717193936&pitch=5&fov=120"
8.0,38.698511858200014,-9.201578706823735,Portugal,Lisbon,,,,,,,Select Epoch of Construction,,,,H:Select Number of Stories,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69851186,-9.20157871&heading=150&pitch=5&fov=120"
9.0,38.70446486396804,-9.202483128805303,Portugal,Lisbon,MUR,LWAL,CDN,1.0,RES,BP2,Select Epoch of Construction,RSH1,RMN,,MUR/LWAL/CDN/H:1/BP2/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70446486,-9.20248313&heading=328.94915257036155&pitch=5&fov=120"
10.0,38.70018102956806,-9.203855985982404,Portugal,Lisbon,MUR,LWAL,CDL,2.0,RES,BPD,Select Epoch of Construction,RSH2,RMT1,,MUR/LWAL/CDL/H:2/BPD/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70018103,-9.20385599&heading=62.98080371621347&pitch=5&fov=120"
11.0,38.69802038415644,-9.217282822333544,Portugal,Lisbon,MCF,LWAL,CDL,2.0,RES,BP1,Select Epoch of Construction,RSH3,RMT1,,MCF/LWAL/CDL/H:2/BP1/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69802038,-9.21728282&heading=96.35156670524225&pitch=5&fov=120"
12.0,38.696971067505295,-9.218222111659712,Portugal,Lisbon,MCF,LWAL,CDL,2.0,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69697107,-9.21822211&heading=96.18695743905926&pitch=5&fov=120"
13.0,38.69678183143055,-9.217493005215248,Portugal,Lisbon,MCF,LWAL,CDL,2.0,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69678183,-9.21749301&heading=90.52225418086334&pitch=5&fov=120"
14.0,38.69730575137777,-9.194598456590583,Portugal,Lisbon,CR,LFM,CDL,3.0,MIX(RES;COM),BP2,Select Epoch of Construction,RSH1,RMN,,CR/LFM/CDL/H:3/BP2/RSH1+RMN/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69730575,-9.19459846&heading=153.21894299346445&pitch=5&fov=120"
15.0,38.69711406545196,-9.201848555594196,Portugal,Lisbon,CR,LFM,CDL,4.0,MIX(RES;COM),BP1,Select Epoch of Construction,RSH1,RMN,,CR/LFM/CDL/H:4/BP1/RSH1+RMN/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69711407,-9.20184856&heading=151.68601023298294&pitch=5&fov=120"
16.0,38.69956694712085,-9.222920698955186,Portugal,Lisbon,MCF,LWAL,CDM,2.0,RES,BP1,Select Epoch of Construction,RSH3,RMT1,,MCF/LWAL/CDM/H:2/BP1/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69956695,-9.2229207&heading=302.5966113449633&pitch=5&fov=120"
17.0,38.699750252979854,-9.203481202076448,Portugal,Lisbon,MCF,LWAL,CDL,2.0,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69975025,-9.2034812&heading=260.14023177888066&pitch=5&fov=120"
18.0,38.70022802838023,-9.199722536225114,Portugal,Lisbon,CR,LFINF,CDL,4.0,EDU,BP1,Select Epoch of Construction,RSH2,RMT1,,CR/LFINF/CDL/H:4/BP1/RSH2+RMT1/EDU,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70022803,-9.19972254&heading=56.89493333456454&pitch=5&fov=120"
19.0,38.700236680146034,-9.20223180121008,Portugal,Lisbon,MUR,LWAL,CDN,1.0,COM,BPD,Select Epoch of Construction,RSH3,RMT1,,MUR/LWAL/CDN/H:1/BPD/RSH3+RMT1/COM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70023668,-9.2022318&heading=150&pitch=5&fov=120"
20.0,38.69448237944838,-9.21357223457414,Portugal,Lisbon,MCF,LWAL,CDL,2.0,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69448238,-9.21357223&heading=149.09848740950804&pitch=5&fov=120"
21.0,38.70114562009992,-9.22176332863178,Portugal,Lisbon,,,,,,,Select Epoch of Construction,,,,H:Select Number of Stories,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70114562,-9.22176333&heading=301.86376089251183&pitch=5&fov=120"
22.0,38.70278350242106,-9.218653182187891,Portugal,Lisbon,CR,LFM,CDM,2.0,RES,BPD,Select Epoch of Construction,RSH3,RMT1,,CR/LFM/CDM/H:2/BPD/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7027835,-9.21865318&heading=121.02598080047153&pitch=5&fov=120"
23.0,38.70308849999999,-9.2163602,Portugal,Lisbon,CR,LFM,CDM,3.0,RES,BPD,Select Epoch of Construction,RSH3,RMT1,,CR/LFM/CDM/H:3/BPD/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7030885,-9.2163602&heading=206.01406544707316&pitch=5&fov=120"
24.0,38.69726854688537,-9.2104726381583,Portugal,Lisbon,CR,LFM,CDH,2.0,RES,BPD,Select Epoch of Construction,RSH1,RMN,,CR/LFM/CDH/H:2/BPD/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69726855,-9.21047264&heading=307.3724428345927&pitch=5&fov=120"
25.0,38.7023202,-9.205058899999996,Portugal,Lisbon,MUR,LWAL,CDN,1.0,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MUR/LWAL/CDN/H:1/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7023202,-9.2050589&heading=156.1975105957905&pitch=5&fov=120"
